# 241126_16:18:16.993641
t	CH1	CH2
0.000000e+00	-1.970376e-03	1.227723e+01
1.000000e-08	-4.309456e-04	1.221410e+01
2.000000e-08	1.296321e-03	1.206791e+01
3.000000e-08	4.814616e-03	1.195360e+01
4.000000e-08	2.409771e-03	1.185733e+01
5.000000e-08	1.151404e-03	1.176047e+01
6.000000e-08	-1.932525e-03	1.166621e+01
7.000000e-08	-4.292236e-03	1.154089e+01
8.000000e-08	-4.622778e-03	1.139307e+01
9.000000e-08	-3.367920e-03	1.125771e+01
1.000000e-07	-2.977142e-03	1.113147e+01
1.100000e-07	-8.490535e-04	1.104733e+01
1.200000e-07	2.679650e-03	1.090834e+01
1.300000e-07	8.882951e-04	1.077305e+01
1.400000e-07	-2.802241e-03	1.063523e+01
1.500000e-07	-4.903856e-03	1.045829e+01
1.600000e-07	-4.191496e-03	1.031094e+01
1.700000e-07	-3.610957e-03	1.018570e+01
1.800000e-07	-4.073955e-03	1.003526e+01
1.900000e-07	-1.647767e-03	9.887289e+00
2.000000e-07	1.178210e-04	9.730920e+00
2.100000e-07	1.660031e-04	9.510996e+00
2.200000e-07	-2.089546e-03	9.384280e+00
2.300000e-07	-3.400962e-03	9.184654e+00
2.400000e-07	-4.830200e-03	9.077260e+00
2.500000e-07	-5.223361e-03	8.837132e+00
2.600000e-07	-2.961347e-03	8.648816e+00
2.700000e-07	-3.525140e-03	8.417917e+00
2.800000e-07	-4.771619e-03	8.309840e+00
2.900000e-07	-2.275310e-03	8.079867e+00
3.000000e-07	-2.127520e-03	7.869392e+00
3.100000e-07	-4.274553e-03	7.649388e+00
3.200000e-07	-5.341083e-03	7.487313e+00
3.300000e-07	-5.395821e-03	7.186685e+00
3.400000e-07	-4.641386e-03	6.975207e+00
3.500000e-07	-5.080008e-03	6.788183e+00
3.600000e-07	-5.804027e-03	6.563649e+00
3.700000e-07	-6.210016e-03	6.343150e+00
3.800000e-07	-5.056414e-03	6.113128e+00
3.900000e-07	-4.149128e-03	5.902676e+00
4.000000e-07	-4.516006e-03	5.692521e+00
4.100000e-07	-5.463153e-03	5.469996e+00
4.200000e-07	-4.128978e-03	5.248862e+00
4.300000e-07	-3.872596e-03	4.953603e+00
4.400000e-07	-5.386021e-03	4.693600e+00
4.500000e-07	-5.995623e-03	4.483100e+00
4.600000e-07	-5.039644e-03	4.321892e+00
4.700000e-07	-3.860966e-03	3.968886e+00
4.800000e-07	-3.445413e-03	3.765769e+00
4.900000e-07	-4.131548e-03	3.588390e+00
5.000000e-07	-4.643612e-03	3.285675e+00
5.100000e-07	-3.042187e-03	3.091575e+00
5.200000e-07	-3.949443e-03	2.844446e+00
5.300000e-07	-6.248845e-03	2.668516e+00
5.400000e-07	-5.373953e-03	2.333610e+00
5.500000e-07	-4.589357e-03	2.114257e+00
5.600000e-07	-6.101633e-03	1.895727e+00
5.700000e-07	-5.286260e-03	1.608444e+00
5.800000e-07	-4.210899e-03	1.346786e+00
5.900000e-07	-4.567716e-03	1.074005e+00
6.000000e-07	-3.839449e-03	8.194661e-01
6.100000e-07	-3.527137e-03	5.483871e-01
6.200000e-07	-4.716122e-03	3.586834e-01
6.300000e-07	-5.046461e-04	6.258151e-02
6.400000e-07	1.158254e-02	-1.999711e-01
6.500000e-07	3.120088e-02	-3.904512e-01
6.600000e-07	-5.877657e-03	-6.005615e-01
6.700000e-07	-1.118394e-02	-8.832353e-01
6.800000e-07	1.725863e-02	-1.073290e+00
6.900000e-07	3.195869e-03	-1.303797e+00
7.000000e-07	-1.560067e-02	-1.549001e+00
7.100000e-07	6.391189e-02	-1.757900e+00
7.200000e-07	2.164771e-01	-1.957319e+00
7.300000e-07	6.858035e-02	-2.189531e+00
7.400000e-07	-2.221682e-01	-2.547973e+00
7.500000e-07	-3.472646e-02	-2.811004e+00
7.600000e-07	2.014010e-01	-3.104036e+00
7.700000e-07	-1.360687e-01	-3.294207e+00
7.800000e-07	-2.157846e-01	-3.503208e+00
7.900000e-07	1.825290e-01	-3.599500e+00
8.000000e-07	1.128181e-01	-3.851501e+00
8.100000e-07	-1.998609e-01	-4.092183e+00
8.200000e-07	1.519526e-01	-4.263183e+00
8.300000e-07	7.082842e-02	-4.484292e+00
8.400000e-07	-2.174389e-01	-4.783345e+00
8.500000e-07	3.029863e-02	-5.017971e+00
8.600000e-07	1.991667e-01	-5.251004e+00
8.700000e-07	3.977004e-02	-5.473606e+00
8.800000e-07	-1.799599e-01	-5.817339e+00
8.900000e-07	1.577881e-01	-5.975893e+00
9.000000e-07	4.304360e-02	-6.228022e+00
