# 241126_16:36:47.253945
t	CH1	CH2
0.000000e+00	-4.414847e-03	1.213232e+01
1.000000e-08	-4.083938e-03	1.203705e+01
2.000000e-08	-3.929130e-03	1.196319e+01
3.000000e-08	-4.030164e-03	1.182745e+01
4.000000e-08	-4.416000e-03	1.172166e+01
5.000000e-08	2.671534e-04	1.164797e+01
6.000000e-08	-1.567888e-04	1.147061e+01
7.000000e-08	-1.978917e-03	1.137537e+01
8.000000e-08	-4.745057e-03	1.122953e+01
9.000000e-08	-6.375186e-03	1.111471e+01
1.000000e-07	-6.772453e-03	1.099742e+01
1.100000e-07	-3.747197e-03	1.089211e+01
1.200000e-07	-2.754198e-03	1.075527e+01
1.300000e-07	-1.491745e-03	1.063755e+01
1.400000e-07	-1.135314e-03	1.050966e+01
1.500000e-07	-2.025070e-03	1.034474e+01
1.600000e-07	-1.873213e-03	1.019798e+01
1.700000e-07	-3.737343e-03	1.007213e+01
1.800000e-07	-6.607974e-03	9.901142e+00
1.900000e-07	-7.063721e-03	9.754742e+00
2.000000e-07	-2.866479e-03	9.595850e+00
2.100000e-07	1.225398e-04	9.429526e+00
2.200000e-07	-9.028334e-04	9.220608e+00
2.300000e-07	-3.008180e-03	9.113235e+00
2.400000e-07	-2.549143e-03	8.916287e+00
2.500000e-07	-3.282831e-03	8.746316e+00
2.600000e-07	-5.890195e-03	8.555322e+00
2.700000e-07	-6.620087e-03	8.359344e+00
2.800000e-07	-5.111928e-03	8.178302e+00
2.900000e-07	-2.028908e-03	7.995370e+00
3.000000e-07	-1.249717e-03	7.766923e+00
3.100000e-07	-2.857523e-03	7.585993e+00
3.200000e-07	-5.430448e-03	7.334773e+00
3.300000e-07	-4.895376e-03	7.115840e+00
3.400000e-07	-4.863080e-03	6.926191e+00
3.500000e-07	-5.801580e-03	6.724737e+00
3.600000e-07	-6.688922e-03	6.482082e+00
3.700000e-07	-4.419891e-03	6.282085e+00
3.800000e-07	-2.502506e-03	6.091661e+00
3.900000e-07	-3.376076e-03	5.881085e+00
4.000000e-07	-5.189923e-03	5.652056e+00
4.100000e-07	-5.687442e-03	5.429954e+00
4.200000e-07	-5.156118e-03	5.207870e+00
4.300000e-07	-3.792407e-03	4.893664e+00
4.400000e-07	-4.956573e-03	4.702186e+00
4.500000e-07	-6.559497e-03	4.432030e+00
4.600000e-07	-3.279951e-03	4.241503e+00
4.700000e-07	-1.345731e-03	4.009425e+00
4.800000e-07	-4.824889e-03	3.788468e+00
4.900000e-07	-7.083674e-03	3.566773e+00
5.000000e-07	-4.860529e-03	3.293686e+00
