# Configuracion:
# Concentracion g/m^3_=_1000.0
# C_Vs_to_Am_M_A/Vsm_=_25649819763.59163
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_309354.39029209287
# 
Resultados:
# tau_s_=_(1.46+/-0.58)e+01
# dphi_rad_=_6.31+/-0.01
# SAR_W/g_=_192.38+/-78.46
# Hc_kA/m_=_1.59+/-0.28
# Mr_A/m_=_5.81+/-1.07
# Suceptibilidad_a_M=0_=_0.0035+/-0.0007
Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
300kHz_150dA_100Mss_bobN5LB100OH0008.txt		20.00	5.97	1.67	57041.50	80.11	3.093239e+05	1.584333e+01	6.314614e+00	202.24	16.175136	4526	3.559e-03
300kHz_150dA_100Mss_bobN5LB100OH0009.txt		20.00	5.44	1.53	57041.50	78.16	3.093239e+05	1.541771e+01	6.309564e+00	165.20	13.574960	4526	3.542e-03
300kHz_150dA_100Mss_bobN5LB100OH0010.txt		20.00	6.44	1.77	57041.50	83.29	3.093239e+05	1.642306e+01	6.316814e+00	224.31	17.307953	4526	3.623e-03
300kHz_150dA_100Mss_bobN5LB100OH0011.txt		20.00	5.88	1.56	57041.50	92.16	3.093239e+05	1.793731e+01	6.308636e+00	185.43	13.096976	4526	3.752e-03
300kHz_150dA_100Mss_bobN5LB100OH0012.txt		20.00	5.99	1.60	57041.50	89.80	3.093239e+05	1.755188e+01	6.313046e+00	212.87	15.367422	4526	3.718e-03
300kHz_150dA_100Mss_bobN5LB100OH0013.txt		20.00	5.82	1.65	57041.50	77.40	3.093239e+05	1.533715e+01	6.311147e+00	174.19	14.389539	4526	3.510e-03
300kHz_150dA_100Mss_bobN5LB100OH0015.txt		20.00	6.09	1.70	57041.50	79.41	3.093239e+05	1.577256e+01	6.318257e+00	224.67	18.051605	4526	3.550e-03
300kHz_150dA_100Mss_bobN5LB100OH0017.txt		20.00	6.79	1.84	57041.50	87.52	3.093239e+05	1.716517e+01	6.321560e+00	267.52	19.753015	4526	3.685e-03
300kHz_150dA_100Mss_bobN5LB100OH0018.txt		20.00	5.79	1.56	57041.50	88.64	3.093239e+05	1.723164e+01	6.308584e+00	177.77	13.070108	4526	3.708e-03
300kHz_150dA_100Mss_bobN5LB100OH0019.txt		20.00	5.49	1.56	57041.50	78.50	3.093239e+05	1.550907e+01	6.309229e+00	164.07	13.402446	4526	3.513e-03
300kHz_150dA_100Mss_bobN5LB100OH0020.txt		20.00	6.42	1.78	57041.50	79.96	3.093239e+05	1.586876e+01	6.321765e+00	248.64	19.858825	4526	3.577e-03
300kHz_150dA_100Mss_bobN5LB100OH0021.txt		20.00	6.56	1.84	57041.50	78.57	3.093239e+05	1.562580e+01	6.323302e+00	254.58	20.650838	4526	3.556e-03
300kHz_150dA_100Mss_bobN5LB100OH0022.txt		20.00	6.20	1.62	57041.50	94.75	3.093239e+05	1.838275e+01	6.312469e+00	218.65	15.070363	4526	3.810e-03
300kHz_150dA_100Mss_bobN5LB100OH0023.txt		20.00	5.75	1.61	57041.50	79.86	3.093923e+05	1.572557e+01	6.308945e+00	164.58	13.256117	4525	3.561e-03
300kHz_150dA_100Mss_bobN5LB100OH0024.txt		20.00	5.30	1.44	57041.50	84.68	3.093239e+05	1.661055e+01	6.306479e+00	157.16	11.986494	4526	3.652e-03
300kHz_150dA_100Mss_bobN5LB100OH0026.txt		20.00	6.27	1.77	57041.50	79.97	3.093239e+05	1.587631e+01	6.322710e+00	254.85	20.345926	4526	3.535e-03
300kHz_150dA_100Mss_bobN5LB100OH0027.txt		20.00	6.76	1.84	57041.50	85.01	3.093239e+05	1.673532e+01	6.320229e+00	251.78	19.067612	4526	3.656e-03
300kHz_150dA_100Mss_bobN5LB100OH0028.txt		20.00	6.98	1.82	57041.50	93.90	3.093239e+05	1.833312e+01	6.321727e+00	286.97	19.839187	4526	3.813e-03
300kHz_150dA_100Mss_bobN5LB100OH0029.txt		20.00	6.42	1.67	57041.50	94.19	3.093239e+05	1.831658e+01	6.317740e+00	257.06	17.784919	4526	3.820e-03
300kHz_150dA_100Mss_bobN5LB100OH0033.txt		20.00	5.99	1.63	57041.50	84.91	3.093239e+05	1.663248e+01	6.312210e+00	196.08	14.937141	4526	3.661e-03
300kHz_150dA_100Mss_bobN5LB100OH0034.txt		20.00	5.19	1.46	57041.50	79.03	3.093239e+05	1.561193e+01	6.307688e+00	155.38	12.608776	4526	3.539e-03
300kHz_150dA_100Mss_bobN5LB100OH0035.txt		20.00	3.99	1.12	57041.50	81.94	3.093239e+05	1.591746e+01	6.290545e+00	47.59	3.786671	4526	3.555e-03
300kHz_150dA_100Mss_bobN5LB100OH0036.txt		20.00	5.97	1.58	57041.50	90.47	3.093239e+05	1.760350e+01	6.311867e+00	205.08	14.760389	4526	3.763e-03
300kHz_150dA_100Mss_bobN5LB100OH0037.txt		20.00	6.33	1.67	57041.50	92.34	3.093239e+05	1.788723e+01	6.313530e+00	220.46	15.616802	4526	3.784e-03
300kHz_150dA_100Mss_bobN5LB100OH0038.txt		20.00	1.47	0.43	57041.50	93.61	3.093239e+05	1.782617e+01	6.268331e+00	-107.56	-7.642877	4526	0.000e+00
