# Configuracion:
# Concentracion g/m^3_=_1000.0
# C_Vs_to_Am_M_A/Vsm_=_25649819763.59163
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_309297.43473535264
# 
Resultados:
# tau_s_=_(5.98+/-0.63)e+01
# dphi_rad_=_6.40+/-0.01
# SAR_W/g_=_736.19+/-72.31
# Hc_kA/m_=_6.34+/-0.21
# Mr_A/m_=_27.72+/-0.79
# Suceptibilidad_a_M=0_=_0.0044+/-0.0001
Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
300kHz_150dA_100Mss_bobN5LB97OH0007.txt		20.00	27.59	6.36	57041.50	75.73	3.092556e+05	1.540899e+01	6.400773e+00	734.19	60.787884	4527	4.400e-03
300kHz_150dA_100Mss_bobN5LB97OH0008.txt		20.00	27.97	6.11	57041.50	89.15	3.092556e+05	1.791783e+01	6.387453e+00	757.39	53.848507	4527	4.671e-03
300kHz_150dA_100Mss_bobN5LB97OH0009.txt		20.00	26.59	6.08	57041.50	79.30	3.092556e+05	1.602572e+01	6.380521e+00	632.53	50.245587	4527	4.479e-03
300kHz_150dA_100Mss_bobN5LB97OH0010.txt		20.00	26.92	6.30	57041.50	71.73	3.092556e+05	1.470359e+01	6.394633e+00	664.15	57.586799	4527	4.353e-03
300kHz_150dA_100Mss_bobN5LB97OH0011.txt		20.00	28.39	6.61	57041.50	76.28	3.092556e+05	1.537503e+01	6.409725e+00	788.06	65.464109	4527	4.375e-03
300kHz_150dA_100Mss_bobN5LB97OH0012.txt		20.00	27.64	6.26	57041.50	79.65	3.093239e+05	1.617036e+01	6.391625e+00	710.93	56.019625	4526	4.483e-03
300kHz_150dA_100Mss_bobN5LB97OH0013.txt		20.00	27.59	6.28	57041.50	79.09	3.093239e+05	1.603109e+01	6.391958e+00	706.97	56.193589	4526	4.477e-03
300kHz_150dA_100Mss_bobN5LB97OH0014.txt		20.00	27.92	6.67	57041.50	70.02	3.092556e+05	1.415020e+01	6.419165e+00	779.06	70.405999	4527	4.247e-03
300kHz_150dA_100Mss_bobN5LB97OH0015.txt		20.00	27.60	6.33	57041.50	77.24	3.092556e+05	1.571036e+01	6.395502e+00	715.14	58.039584	4527	4.424e-03
300kHz_150dA_100Mss_bobN5LB97OH0016.txt		20.00	26.92	6.30	57041.50	71.45	3.092556e+05	1.464592e+01	6.391566e+00	643.42	55.988647	4527	4.342e-03
300kHz_150dA_100Mss_bobN5LB97OH0017.txt		20.00	28.36	6.47	57041.50	78.91	3.092556e+05	1.587947e+01	6.409684e+00	813.65	65.442576	4527	4.438e-03
300kHz_150dA_100Mss_bobN5LB97OH0018.txt		20.00	27.53	6.45	57041.50	70.85	3.092556e+05	1.450908e+01	6.404803e+00	714.89	62.891233	4527	4.311e-03
300kHz_150dA_100Mss_bobN5LB97OH0019.txt		20.00	27.31	5.95	57041.50	88.82	3.092556e+05	1.768589e+01	6.382820e+00	714.49	51.439785	4527	4.702e-03
300kHz_150dA_100Mss_bobN5LB97OH0020.txt		20.00	29.17	6.31	57041.50	91.13	3.092556e+05	1.811622e+01	6.401071e+00	865.36	60.943410	4527	4.678e-03
300kHz_150dA_100Mss_bobN5LB97OH0021.txt		20.00	29.82	6.81	57041.50	78.39	3.092556e+05	1.551481e+01	6.429511e+00	918.73	75.837257	4527	4.423e-03
300kHz_150dA_100Mss_bobN5LB97OH0022.txt		20.00	27.33	6.31	57041.50	75.19	3.092556e+05	1.532098e+01	6.394940e+00	693.94	57.746543	4527	4.387e-03
300kHz_150dA_100Mss_bobN5LB97OH0023.txt		20.00	27.52	6.38	57041.50	73.94	3.092556e+05	1.509324e+01	6.401538e+00	723.80	61.186751	4527	4.353e-03
300kHz_150dA_100Mss_bobN5LB97OH0024.txt		20.00	26.82	6.15	57041.50	75.91	3.092556e+05	1.540491e+01	6.391232e+00	674.68	55.814794	4527	4.413e-03
