# Temperatura_=_20.0
# Concentracion g/m^3_=_1000.0
# C_Vs_to_Am_M_A/Vsm_=_25649819763.59163
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_309265.9445020104
# Promedio de 26 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-6.557313e-09	-2.619151e-09	-5.682219e+01	-6.544236e+01
1.000000e-08	-6.554795e-09	-2.596784e-09	-5.680041e+01	-6.547171e+01
2.000000e-08	-6.549881e-09	-2.584360e-09	-5.675787e+01	-6.549384e+01
3.000000e-08	-6.542789e-09	-2.596544e-09	-5.669647e+01	-6.550102e+01
4.000000e-08	-6.533353e-09	-2.595764e-09	-5.661471e+01	-6.549002e+01
5.000000e-08	-6.521471e-09	-2.584307e-09	-5.651175e+01	-6.546290e+01
6.000000e-08	-6.507110e-09	-2.593884e-09	-5.638736e+01	-6.542616e+01
7.000000e-08	-6.490257e-09	-2.606564e-09	-5.624138e+01	-6.538851e+01
8.000000e-08	-6.471206e-09	-2.577631e-09	-5.607635e+01	-6.535790e+01
9.000000e-08	-6.449868e-09	-2.468711e-09	-5.589153e+01	-6.533879e+01
1.000000e-07	-6.425804e-09	-2.411196e-09	-5.568308e+01	-6.533049e+01
1.100000e-07	-6.399059e-09	-2.513950e-09	-5.545136e+01	-6.532712e+01
1.200000e-07	-6.370103e-09	-2.550941e-09	-5.520048e+01	-6.531934e+01
1.300000e-07	-6.339211e-09	-2.433388e-09	-5.493283e+01	-6.529724e+01
1.400000e-07	-6.306249e-09	-2.417694e-09	-5.464724e+01	-6.525367e+01
1.500000e-07	-6.271275e-09	-2.532493e-09	-5.434423e+01	-6.518692e+01
1.600000e-07	-6.234527e-09	-2.530192e-09	-5.402584e+01	-6.510200e+01
1.700000e-07	-6.195658e-09	-2.408974e-09	-5.368905e+01	-6.501005e+01
1.800000e-07	-6.154330e-09	-2.435248e-09	-5.333094e+01	-6.492589e+01
1.900000e-07	-6.110671e-09	-2.534624e-09	-5.295263e+01	-6.486451e+01
2.000000e-07	-6.064728e-09	-2.462437e-09	-5.255453e+01	-6.483719e+01
2.100000e-07	-6.016453e-09	-2.442626e-09	-5.213623e+01	-6.484852e+01
2.200000e-07	-5.965485e-09	-2.544756e-09	-5.169462e+01	-6.489502e+01
2.300000e-07	-5.911848e-09	-2.505454e-09	-5.122987e+01	-6.496566e+01
2.400000e-07	-5.855895e-09	-2.422176e-09	-5.074505e+01	-6.504436e+01
2.500000e-07	-5.797539e-09	-2.518263e-09	-5.023941e+01	-6.511354e+01
2.600000e-07	-5.736944e-09	-2.581527e-09	-4.971436e+01	-6.515801e+01
2.700000e-07	-5.674221e-09	-2.483277e-09	-4.917087e+01	-6.516813e+01
2.800000e-07	-5.609271e-09	-2.490694e-09	-4.860808e+01	-6.514141e+01
2.900000e-07	-5.542067e-09	-2.596414e-09	-4.802575e+01	-6.508238e+01
3.000000e-07	-5.472663e-09	-2.568304e-09	-4.742439e+01	-6.500085e+01
3.100000e-07	-5.401065e-09	-2.475435e-09	-4.680403e+01	-6.490906e+01
3.200000e-07	-5.327189e-09	-2.523433e-09	-4.616391e+01	-6.481856e+01
3.300000e-07	-5.251115e-09	-2.587014e-09	-4.550471e+01	-6.473774e+01
3.400000e-07	-5.172798e-09	-2.497980e-09	-4.482609e+01	-6.467038e+01
3.500000e-07	-5.092284e-09	-2.460652e-09	-4.412846e+01	-6.461566e+01
3.600000e-07	-5.009878e-09	-2.537712e-09	-4.341444e+01	-6.456920e+01
3.700000e-07	-4.925795e-09	-2.529345e-09	-4.268589e+01	-6.452492e+01
