# Temperatura_=_20.0
# Concentracion g/m^3_=_950.0
# C_Vs_to_Am_M_A/Vsm_=_25649819763.59163
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_311438.65859591664
# Promedio de 28 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-6.674858e-09	-3.372934e-09	-5.669539e+01	-8.381538e+01
1.000000e-08	-6.671660e-09	-3.351922e-09	-5.666823e+01	-8.386359e+01
2.000000e-08	-6.666051e-09	-3.353289e-09	-5.662058e+01	-8.391785e+01
3.000000e-08	-6.658171e-09	-3.376149e-09	-5.655366e+01	-8.396367e+01
4.000000e-08	-6.647808e-09	-3.370970e-09	-5.646563e+01	-8.398702e+01
5.000000e-08	-6.634879e-09	-3.363138e-09	-5.635582e+01	-8.397845e+01
6.000000e-08	-6.619332e-09	-3.387161e-09	-5.622377e+01	-8.393615e+01
7.000000e-08	-6.601374e-09	-3.415770e-09	-5.607123e+01	-8.386694e+01
8.000000e-08	-6.581384e-09	-3.386576e-09	-5.590144e+01	-8.378489e+01
9.000000e-08	-6.558989e-09	-3.233313e-09	-5.571122e+01	-8.370787e+01
1.000000e-07	-6.533692e-09	-3.189946e-09	-5.549635e+01	-8.365308e+01
1.100000e-07	-6.505741e-09	-3.366445e-09	-5.525894e+01	-8.363254e+01
1.200000e-07	-6.475595e-09	-3.367923e-09	-5.500288e+01	-8.365011e+01
1.300000e-07	-6.443327e-09	-3.214577e-09	-5.472880e+01	-8.370060e+01
1.400000e-07	-6.408829e-09	-3.258806e-09	-5.443578e+01	-8.377149e+01
1.500000e-07	-6.372358e-09	-3.404566e-09	-5.412600e+01	-8.384652e+01
1.600000e-07	-6.334008e-09	-3.362902e-09	-5.380026e+01	-8.391039e+01
1.700000e-07	-6.293255e-09	-3.232982e-09	-5.345411e+01	-8.395310e+01
1.800000e-07	-6.250006e-09	-3.341802e-09	-5.308676e+01	-8.397274e+01
1.900000e-07	-6.204476e-09	-3.349104e-09	-5.270004e+01	-8.397596e+01
2.000000e-07	-6.156540e-09	-3.159110e-09	-5.229287e+01	-8.397588e+01
2.100000e-07	-6.105969e-09	-3.244481e-09	-5.186333e+01	-8.398808e+01
2.200000e-07	-6.052636e-09	-3.313404e-09	-5.141033e+01	-8.402574e+01
